"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",63,127,7,20,"Sophomore",2,2,100,50,7,47,47,7,"one",40
"female",63,133,8,12,"Freshman",6,2,100,0,7,51,65,4,"dozens",25
"female",68,130,8.5,30,"Sophomore",1,2,90,30,8,49,52,8,"one",30
"female",61,123,7,20,"Sophomore",4,2,80,22,7,49,50,8,"few",50
"female",68,135,8.5,16,"Sophomore",0,1,80,8,9.5,50,47,1,"one",50
"female",65,120,8,45,"Sophomore",1,3,95,17,7.5,52,54,9,"few",50
"female",63,130,8,8,"Sophomore",0,3,85,21,5,43,56,4,"few",40
"female",66,136,7,25,"Sophomore",1,0,60,150,7,43,45,7,"few",5
"male",69,150,10,6,"Sophomore",18,2,91,0,6,46,57,9,"few",100
"female",63,135,8,60,"Junior",7,1,120,40,5,54,54,3,"few",100
"male",69,169,10,6,"Sophomore",2,0,80,0,9,45,47,6,"millions",75
"male",73,175,12,89,"Sophomore",3,4,100,1000,4,57,59,9,"thousands",50
"female",64,115,7.5,14,"Sophomore",0,1,90,41,7,52,53,8,"few",60
"female",63,115,7.5,30,"Sophomore",3,1,110,300,6.5,50,50,6,"few",75
"female",67,156,10,30,"Sophomore",6,2,90,0,6,44,44,9,"hundreds",80
"female",67,130,8,25,"Sophomore",1,3,90,100,8,53,53,4,"few",99
"male",73,190,12.5,3,"Sophomore",3,2,101,15,7,49,49,8,"few",25
"male",70,133,9.5,8,"Sophomore",0,1,96,15,7,49,50,4,"one",35
"female",67,140,8.5,23,"Sophomore",0,2,90,300,8.5,49,48,9,"few",50
"male",70,195,11,7,"Sophomore",0,1,110,35,10,45,45,7,"few",50
"male",73,165,11.5,2,"Senior",4,1,110,9,6,54,53,10,"thousands",100
"female",66,175,10,25,"Sophomore",1,3,98,45,7.5,58,60,7,"hundreds",68
"female",61,146,7.5,15,"Sophomore",0,2,50,2,6.5,47,53,4,"one",90
"female",64,100,6,20,"Sophomore",1,2,85,300,6,50,52,2,"one",99
"male",67,130,7.5,4,"Sophomore",0,1,100,12,6,51,51,1,"few",50
"female",68,168,9,15,"Sophomore",1,4,90,10,6,51,51,9,"few",50
"female",63,112,7.5,40,"Sophomore",0,1,93,120,8,43,48,4,"few",80
"female",66,165,9,30,"Freshman",3,2,50,2,7,48,47,7,"hundreds",50
"female",59,103,6,10,"Sophomore",2,2,90,51,8,52,52,6,"few",50
"female",66,145,7.5,20,"Sophomore",2,2,95,110,5.5,41,45,7,"few",20
"female",64,157,7.5,22,"Junior",1,3,100,0,7.5,46,48,7,"few",40
"female",60,108,6,20,"Freshman",2,1,100,20,7.5,45,50,2,"hundreds",80
"female",65,105,8,10,"Junior",3,3,90,0,5,52,62,8,"few",10
"female",61,135,8,40,"Sophomore",0,0,85,101,7,44,47,6,"few",35
"female",68,150,9,30,"Junior",3,4,100,1,7,43,45,4,"hundreds",100
"male",69,155,10.5,5,"Junior",1,1,100,35,7.5,47,50,7,"hundreds",30
"female",59,117,5,12,"Sophomore",9,2,40,20,9,43,49,9,"few",10
"female",67,130,9.5,18,"Sophomore",0,1,102,6,8.5,53,62,9,"few",40
"male",71,170,11,4,"Sophomore",2,1,115,23,7,52,51,5,"thousands",95
"female",62,111,6,16,"Junior",0,2,95,50,7,58,62,4,"few",65
"male",69,152,9.5,15,"Sophomore",0,1,105,25,8,52,53,10,"few",100
"male",75,210,12.5,8,"Sophomore",0,2,110,10,8,52,53,1,"one",10
"female",62,110,7,15,"Sophomore",30,1,90,30,8,53,55,8,"few",99
"female",67,124,8,30,"Freshman",3,3,85,85,7,53,53,3,"few",50
"male",69,128,8.5,6,"Sophomore",1,2,115,20,8,48,50,3,"dozens",30
"female",63,120,7.5,12,"Sophomore",2,3,90,0,6,47,56,4,"one",50
"female",66,135,8,30,"Sophomore",0,1,110,0,7,52,52,3,"one",50
"female",59,135,6.5,9,"Sophomore",6,4,85,3,6.5,38,38,3,"few",100
"female",62,148,7.5,53,"Junior",1,2,105,105,7,48,48,7,"few",50
"female",66,210,7,20,"Sophomore",2,2,100,20,8,54,55,7,"few",75
"female",64,165,9,10,"Freshman",3,1,90,30,7,54,54,9,"few",75
"female",67,130,8,40,"Sophomore",6,0,100,0,9,43,50,6,"one",100
